Назва файлу,Test_Case,Зона,Кадр,Ітерація,ROI,class,x,y,w,h
Test_Case_2_Z1_2_5_ROI_002_png.rf.5c953a22a5b632c68e68b6637bd95d8f.txt,2,1,2,5,002,1,0.44921875,0.47109375,0.2265625,0.07734375
Test_Case_3_Z2_7_5_ROI_001_png.rf.4daa21b05b21630de2ff353b15f35bf4.txt,3,2,7,5,001,1,0.503125,0.503125,0.26875,0.11875
Test_Case_5_Z2_2_4_ROI_003_png.rf.4c2c2bd8fddb765987866c35dfaba45b.txt,5,2,2,4,003,1,0.37265625,0.5234375,0.25546875,0.13828125
Test_Case_4_Z1_9_4_ROI_002_png.rf.98bd867a99fbc31f790708abc5b24af7.txt,4,1,9,4,002,1,0.35078125,0.5484375,0.24453125,0.0796875
Test_Case_4_Z2_0_1_ROI_004_png.rf.fbc7ffa2d7d7e4f4448cec43b8489cac.txt,4,2,0,1,004,1,0.39375,0.3765625,0.2484375,0.0953125
Test_Case_4_Z2_0_3_ROI_001_png.rf.d36ab0000befa416363704f671cc8a07.txt,4,2,0,3,001,1,0.42421875,0.49921875,0.28671875,0.1171875
Test_Case_4_Z2_0_5_ROI_004_png.rf.5defc056d4f82f1d0c6c9729092c149e.txt,4,2,0,5,004,1,0.3578125,0.3515625,0.27578125,0.0828125
Test_Case_4_Z2_10_4_ROI_002_png.rf.68725cb0f41b034f49532c9b4ef8ba0a.txt,4,2,10,4,002,1,0.34296875,0.48515625,0.23046875,0.1265625
Test_Case_4_Z2_10_4_ROI_003_png.rf.659d4ff0a3c126f27dbb4c99d879e61e.txt,4,2,10,4,003,1,0.3328125,0.4984375,0.25234375,0.121875
Test_Case_4_Z2_11_1_ROI_002_png.rf.d223aaa7f36815eb725ab49774ec5666.txt,4,2,11,1,002,1,0.4265625,0.475,0.24140625,0.128125
Test_Case_6_Z2_11_5_ROI_002_png.rf.19469cc21e53e2416249cabad63b76e3.txt,6,2,11,5,002,1,0.42421875,0.5015625,0.25234375,0.12578125
Test_Case_6_Z2_12_2_ROI_003_png.rf.e72dd666c7bcf38140f3a2537fa93c12.txt,6,2,12,2,003,1,0.4171875,0.50625,0.2484375,0.140625
Test_Case_6_Z2_12_3_ROI_002_png.rf.b884203d3db6c5d874525fa5b68161b6.txt,6,2,12,3,002,1,0.4546875,0.48359375,0.24609375,0.103125
Test_Case_6_Z2_12_5_ROI_001_png.rf.659197b85e942fe9859172709fa6e861.txt,6,2,12,5,001,1,0.50078125,0.5,0.27265625,0.11640625
Test_Case_6_Z2_14_2_ROI_004_png.rf.645ac19c018acd6c65cf91fa2d68faaa.txt,6,2,14,2,004,1,0.475,0.40625,0.25546875,0.08984375
Test_Case_6_Z2_14_2_ROI_005_png.rf.311919c9c2161d17a35de84b4b484290.txt,6,2,14,2,005,1,0.37734375,0.5203125,0.31796875,0.1125
Test_Case_6_Z2_1_1_ROI_002_png.rf.7782b6b79c3304f26d728791ca0afa41.txt,6,2,1,1,002,1,0.45546875,0.48359375,0.24921875,0.12421875
Test_Case_6_Z2_1_1_ROI_005_png.rf.aa6fd03b8164ee6fb28d30a8924ad3a8.txt,6,2,1,1,005,1,0.39765625,0.515625,0.28046875,0.10703125
